feature_id,domain,feature_name,expected_behavior,observed_wiring_status,behavior_verdict,evidence
slash_001,tui_slash_command,/accent,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_002,tui_slash_command,/agents,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_003,tui_slash_command,/autopilot,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_004,tui_slash_command,/background,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with
slash_005,tui_slash_command,/bg,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_006,tui_slash_command,/bug,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_007,tui_slash_command,/changes,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_008,tui_slash_command,/clear,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_009,tui_slash_command,/clear queue,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_010,tui_slash_command,/commands,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_011,tui_slash_command,/compact,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_012,tui_slash_command,/connect,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_013,tui_slash_command,/context,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_014,tui_slash_command,/diff,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_015,tui_slash_command,/doctor,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_016,tui_slash_command,/editor,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_017,tui_slash_command,/enable_exa,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_018,tui_slash_command,/exit,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_019,tui_slash_command,/export,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_020,tui_slash_command,/handoff,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_021,tui_slash_command,/help,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_022,tui_slash_command,/hooks,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_023,tui_slash_command,/image,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_024,tui_slash_command,/index,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with
slash_025,tui_slash_command,/index off,feature advertised/registered should be executable through its documented trigger,wired_via_parent_handler,pass,parent_handler
slash_026,tui_slash_command,/index status,feature advertised/registered should be executable through its documented trigger,wired_via_parent_handler,pass,parent_handler
slash_027,tui_slash_command,/init,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_028,tui_slash_command,/init-deep,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_029,tui_slash_command,/learn,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_030,tui_slash_command,/login,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_031,tui_slash_command,/mcp,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_032,tui_slash_command,/model,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;strip_prefix;in_selector
slash_033,tui_slash_command,/notepad,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_034,tui_slash_command,/notify,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_035,tui_slash_command,/persist,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_036,tui_slash_command,/plan,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_037,tui_slash_command,/qa,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_038,tui_slash_command,/quit,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_039,tui_slash_command,/refactor,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with
slash_040,tui_slash_command,/resume,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;strip_prefix;in_selector
slash_041,tui_slash_command,/review,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with
slash_042,tui_slash_command,/retry,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_043,tui_slash_command,/search,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_044,tui_slash_command,/session delete,feature advertised/registered should be executable through its documented trigger,arg_only_or_partial,pass,strip_prefix
slash_045,tui_slash_command,/session rename,feature advertised/registered should be executable through its documented trigger,arg_only_or_partial,pass,strip_prefix
slash_046,tui_slash_command,/sessions,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;strip_prefix;in_selector
slash_047,tui_slash_command,/status,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_048,tui_slash_command,/stop,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_049,tui_slash_command,/style,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;strip_prefix;in_selector
slash_050,tui_slash_command,/thinking toggle,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_051,tui_slash_command,/settings,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_052,tui_slash_command,/team,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_053,tui_slash_command,/theme,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_054,tui_slash_command,/think,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_055,tui_slash_command,/thinking,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;strip_prefix;in_selector
slash_056,tui_slash_command,/todo,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with;in_selector
slash_057,tui_slash_command,/todo enforce on,feature advertised/registered should be executable through its documented trigger,wired_via_parent_handler,pass,parent_handler
slash_058,tui_slash_command,/todo enforce off,feature advertised/registered should be executable through its documented trigger,wired_via_parent_handler,pass,parent_handler
slash_059,tui_slash_command,/todo clear,feature advertised/registered should be executable through its documented trigger,wired_via_parent_handler,pass,parent_handler
slash_060,tui_slash_command,/trust,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;strip_prefix;in_selector
slash_061,tui_slash_command,/undo,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_062,tui_slash_command,/undo all,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_063,tui_slash_command,/undo git,feature advertised/registered should be executable through its documented trigger,wired,pass,exact
slash_064,tui_slash_command,/verify,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;in_selector
slash_065,tui_slash_command,/quick,feature advertised/registered should be executable through its documented trigger,wired,pass,exact;starts_with
